,구분,위치(구역명),운동기구 기종명,운동기구 수량,관리번호,관리기관
25,남산공원(회현),용암케이트블장,팔굽혀펴기,1,남삼회현-4(용암게이트볼장)-2,중부공원녹지사업소
26,남산공원(회현),용암케이트블장,온몸근육풀기,1,남삼회현-4(용암게이트볼장)-3,중부공원녹지사업소
27,남산공원(회현),용암케이트블장,암컬,1,남삼회현-4(용암게이트볼장)-4,중부공원녹지사업소
28,남산공원(회현),용암케이트블장,양팔 줄당기기,1,남삼회현-4(용암게이트볼장)-5,중부공원녹지사업소
29,남산공원(회현),용암케이트블장,온몸근육풀기,1,남삼회현-4(용암게이트볼장)-6,중부공원녹지사업소
30,남산공원(회현),용암케이트블장,스탱딩레그컬,1,남삼회현-4(용암게이트볼장)-7,중부공원녹지사업소
31,남산공원(회현),용암케이트블장,버터플라이,1,남삼회현-4(용암게이트볼장)-8,중부공원녹지사업소
32,남산공원(회현),용암케이트블장,숄더프레스머신,1,남삼회현-4(용암게이트볼장)-9,중부공원녹지사업소
33,남산공원(회현),용암케이트블장,크로스 컨트리,1,남삼회현-4(용암게이트볼장)-10,중부공원녹지사업소
34,남산공원(회현),용암배드민턴장,크로스 컨트리,1,남삼회현-5(용암배드민턴장)-1,중부공원녹지사업소
35,남산공원(회현),용암배드민턴장,상체근육풀기,1,남삼회현-5(용암배드민턴장)-2,중부공원녹지사업소
36,남산공원(회현),용암배드민턴장,오금펴기+줄당기기,1,남삼회현-5(용암배드민턴장)-3,중부공원녹지사업소
37,남산공원(회현),용암배드민턴장,허리돌이기,1,남삼회현-5(용암배드민턴장)-4,중부공원녹지사업소
38,남산공원(회현),용암배드민턴장,웟몸 일으키기,1,남삼회현-5(용암배드민턴장)-5,중부공원녹지사업소
39,남산공원(회현),용암배드민턴장,등 지압기,1,남삼회현-5(용암배드민턴장)-6,중부공원녹지사업소
40,남산공원(회현),용암배드민턴장,롤링웨이스트,1,남삼회현-5(용암배드민턴장)-7,중부공원녹지사업소
41,남산공원(회현),용암천,역기,1,남삼회현-6(용암천)-1,중부공원녹지사업소
42,남산공원(회현),용암천,허리돌이기,1,남삼회현-6(용암천)-2,중부공원녹지사업소
43,남산공원(회현),용암천,크로스 컨트리,1,남삼회현-6(용암천)-3,중부공원녹지사업소
44,남산공원(회현),용암천,체어 웨이트,1,남삼회현-6(용암천)-4,중부공원녹지사업소
45,남산공원(회현),용암천,클링웨이스트,1,남삼회현-6(용암천)-5,중부공원녹지사업소
46,남산공원(회현),용암천,레그프레스,1,남삼회현-6(용암천)-6,중부공원녹지사업소
47,남산공원(회현),용암천,워밍암,1,남삼회현-6(용암천)-7,중부공원녹지사업소
48,남산공원(회현),용암천,입식트윈트위스트,1,남삼회현-6(용암천)-8,중부공원녹지사업소
49,남산공원(회현),용암천,스트레칭울러,1,남삼회현-6(용암천)-9,중부공원녹지사업소
50,남산공원(회현),용암천,스텝사이클,1,남삼회현-6(용암천)-10,중부공원녹지사업소
51,남산공원(회현),용암천,평행봉,1,남삼회현-6(용암천)-11,중부공원녹지사업소
52,남산공원(회현),용암천,철봉(1단),1,남삼회현-6(용암천)-12,중부공원녹지사업소
53,남산공원(회현),용암천,레그 스트레칭,1,남삼회현-6(용암천)-13,중부공원녹지사업소
54,남산공원(회현),기억의 터 위,허리돌이기,1,남삼회현-7(기억의터)-1,중부공원녹지사업소
55,남산공원(회현),기억의 터 위,윗몸일으키기,1,남삼회현-7(기억의터)-2,중부공원녹지사업소
56,남산공원(회현),기억의 터 위,스텝사이클,1,남삼회현-7(기억의터)-3,중부공원녹지사업소
57,남산공원(회현),기억의 터 위,철봉(3단),1,남삼회현-7(기억의터)-4,중부공원녹지사업소
58,남산공원(회현),기억의 터 위,체어 웨이트,1,남삼회현-7(기억의터)-5,중부공원녹지사업소
59,남산공원(회현),기억의 터 위,오금펴기,1,남삼회현-7(기억의터)-6,중부공원녹지사업소
60,남산공원(회현),기억의 터 위,스텝사이클,1,남삼회현-7(기억의터)-7,중부공원녹지사업소
61,남산공원(회현),기억의 터 위,철봉(3단),1,남삼회현-7(기억의터)-8,중부공원녹지사업소
62,남산공원(회현),기억의 터 위,역기,1,남삼회현-7(기억의터)-9,중부공원녹지사업소
63,남산공원(회현),기억의 터 위,평행봉,1,남삼회현-7(기억의터)-10,중부공원녹지사업소
64,남산공원(회현),기억의 터 위,철봉(3단),1,남삼회현-7(기억의터)-11,중부공원녹지사업소
65,남산공원(회현),기억의 터 위,허리돌이기,1,남삼회현-7(기억의터)-12,중부공원녹지사업소
