"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상"
"광주광역시 동구 지산1동(2911062000)","3,989","3,989","100","301","913","363","466","558","569","421","263","34","1"
"광주광역시 동구 지산2동(2911063000)","4,139","4,139","127","309","779","359","442","702","623","444","319","34","1"
"광주광역시 동구 서남동(2911065500)","3,222","3,222","45","112","1,128","408","273","380","398","284","161","32","1"
"광주광역시 동구 학동(2911068500)","7,136","7,136","533","549","890","876","1,017","1,044","1,018","748","420","41","0"
"광주광역시 동구 학운동(2911071000)","10,689","10,689","412","802","1,092","888","1,208","1,613","1,987","1,580","951","153","3"
"광주광역시 동구 지원1동(2911073000)","8,983","8,983","583","743","955","1,126","1,206","1,443","1,461","960","432","73","1"
"광주광역시 동구 지원2동(2911074000)","18,305","18,305","1,699","1,400","1,798","2,845","2,926","2,878","2,668","1,361","621","108","1"
"광주광역시 서구 (2914000000)","279,050","279,050","15,941","27,210","38,407","33,484","42,016","50,018","39,071","21,273","10,021","1,573","36"
"광주광역시 서구 양동(2914057500)","2,842","2,842","57","101","211","236","271","431","610","542","328","54","1"
"광주광역시 서구 양3동(2914059000)","4,127","4,127","234","334","335","403","620","641","718","565","245","31","1"
"광주광역시 서구 농성1동(2914065000)","11,581","11,581","583","631","1,635","1,729","1,520","1,914","1,615","1,217","645","91","1"
"광주광역시 서구 농성2동(2914066000)","4,388","4,388","82","181","665","536","519","760","816","493","301","35","0"
"광주광역시 서구 광천동(2914073000)","5,397","5,397","419","437","611","774","842","972","744","405","167","26","0"
"광주광역시 서구 유덕동(2914074000)","10,182","10,182","563","1,044","1,396","1,264","1,641","1,992","1,217","648","368","49","0"
"광주광역시 서구 치평동(2914074500)","29,060","29,060","1,568","2,608","4,765","4,300","4,196","5,291","3,647","1,616","905","163","1"
"광주광역시 서구 상무1동(2914075100)","23,884","23,884","1,197","2,090","4,199","3,377","3,578","4,120","3,005","1,593","624","99","2"
"광주광역시 서구 상무2동(2914075200)","22,263","22,263","736","1,388","3,758","2,843","2,680","3,605","3,710","2,265","1,107","165","6"
"광주광역시 서구 화정1동(2914076000)","15,421","15,421","618","984","2,642","2,397","2,114","2,394","2,059","1,329","745","136","3"
"광주광역시 서구 화정2동(2914077000)","19,479","19,479","1,823","2,614","1,759","2,180","3,845","2,725","2,492","1,426","542","73","0"
"광주광역시 서구 화정3동(2914078000)","8,917","8,917","348","787","1,139","862","1,126","1,513","1,627","980","455","76","4"
"광주광역시 서구 화정4동(2914079000)","19,294","19,294","1,551","1,858","2,124","2,449","2,870","2,923","3,199","1,623","601","95","1"
"광주광역시 서구 서창동(2914080000)","7,056","7,056","550","600","703","827","932","1,411","1,135","551","289","55","3"
"광주광역시 서구 금호1동(2914082100)","19,115","19,115","853","1,831","2,343","1,870","2,466","3,713","3,457","1,692","759","129","2"
"광주광역시 서구 금호2동(2914082400)","26,655","26,655","1,814","3,454","3,602","2,707","4,415","5,592","3,000","1,404","577","86","4"
"광주광역시 서구 풍암동(2914083000)","34,144","34,144","1,971","4,061","4,758","3,394","5,663","7,134","4,039","1,956","1,015","149","4"
"광주광역시 서구 동천동(2914084000)","15,245","15,245","974","2,207","1,762","1,336","2,718","2,887","1,981","968","348","61","3"
"광주광역시 남구 (2915500000)","207,597","207,597","13,509","22,599","23,033","22,853","32,521","32,782","30,389","19,257","9,231","1,380","43"
"광주광역시 남구 양림동(2915551000)","6,434","6,434","259","656","733","498","844","1,082","985","860","446","70","1"
"광주광역시 남구 방림1동(2915552000)","6,573","6,573","416","688","649","742","1,039","1,034","931","704","337","32","1"
"광주광역시 남구 방림2동(2915553000)","9,092","9,092","490","743","1,014","970","1,167","1,454","1,470","1,132","546","103","3"
"광주광역시 남구 봉선1동(2915553700)","13,068","13,068","650","1,335","1,593","1,421","1,955","2,122","1,991","1,199","690","107","5"
"광주광역시 남구 봉선2동(2915553800)","27,596","27,596","2,250","4,986","2,646","2,156","5,455","4,394","3,101","1,663","814","128","3"
"광주광역시 남구 사직동(2915554500)","4,541","4,541","183","233","477","490","585","726","822","603","381","40","1"
"광주광역시 남구 월산동(2915560500)","8,451","8,451","586","503","778","1,142","1,181","1,270","1,321","1,039","544","87","0"
"광주광역시 남구 월산4동(2915563000)","7,853","7,853","207","481","928","928","982","1,270","1,497","1,027","458","72","3"
"광주광역시 남구 월산5동(2915564000)","5,701","5,701","133","280","687","585","667","944","1,196","795","372","41","1"
"광주광역시 남구 백운1동(2915567000)","11,416","11,416","591","1,092","1,253","1,081","1,694","1,776","1,942","1,258","629","100","0"
"광주광역시 남구 백운2동(2915568000)","6,694","6,694","404","425","1,000","954","909","1,003","992","635","332","39","1"
"광주광역시 남구 주월1동(2915569000)","20,699","20,699","1,284","2,130","2,520","2,331","3,175","3,592","3,087","1,780","703","95","2"
"광주광역시 남구 주월2동(2915570000)","7,318","7,318","289","496","726","732","953","1,218","1,448","979","422","52","3"
"광주광역시 남구 진월동(2915570500)","27,830","27,830","1,517","3,784","3,630","2,554","4,319","4,739","3,783","2,252","1,099","149","4"
"광주광역시 남구 효덕동(2915571000)","15,088","15,088","1,031","1,675","1,773","1,865","2,470","2,165","2,120","1,389","519","74","7"
"광주광역시 남구 송암동(2915572000)","20,991","20,991","2,556","2,487","2,062","3,282","4,009","2,818","2,273","1,034","386","79","5"
"광주광역시 남구 대촌동(2915573000)","8,252","8,252","663","605","564","1,122","1,117","1,175","1,430","908","553","112","3"
"광주광역시 북구 (2917000000)","423,961","423,961","27,542","39,972","53,157","54,118","63,244","72,552","62,132","33,354","15,493","2,345","52"
"광주광역시 북구 중흥1동(2917051000)","4,391","4,391","177","137","718","858","558","590","660","451","212","30","0"
"광주광역시 북구 중흥동(2917053500)","15,086","15,086","1,024","1,050","2,513","2,310","2,167","2,148","1,755","1,327","691","100","1"
"광주광역시 북구 중앙동(2917055500)","3,679","3,679","239","173","521","580","534","578","543","334","157","17","3"
"광주광역시 북구 임동(2917057000)","13,853","13,853","1,260","862","1,557","2,848","2,037","1,922","1,706","1,121","479","60","1"
"광주광역시 북구 신안동(2917058000)","11,998","11,998","467","557","1,883","1,988","1,507","1,935","1,860","1,130","602","67","2"
"광주광역시 북구 용봉동(2917059000)","36,604","36,604","1,917","3,268","6,557","4,397","4,809","6,389","5,274","2,653","1,176","160","4"
"광주광역시 북구 운암1동(2917060100)","18,265","18,265","1,289","2,161","2,059","1,875","2,865","2,996","2,781","1,596","556","86","1"
"광주광역시 북구 운암2동(2917060200)","10,941","10,941","352","811","1,247","1,166","1,390","1,827","2,096","1,325","652","71","4"
"광주광역시 북구 운암3동(2917060300)","13,116","13,116","853","1,333","1,525","1,547","1,852","2,185","2,265","1,046","423","86","1"
"광주광역시 북구 동림동(2917061500)","22,395","22,395","1,615","2,100","2,408","3,130","3,536","3,938","3,270","1,662","641","91","4"
"광주광역시 북구 우산동(2917062000)","15,646","15,646","1,249","1,297","1,457","2,070","2,395","2,221","2,396","1,693","747","120","1"
"광주광역시 북구 풍향동(2917063500)","5,138","5,138","368","469","562","590","834","853","723","467","239","32","1"
"광주광역시 북구 문화동(2917065000)","22,902","22,902","1,846","1,720","2,383","3,493","3,280","3,630","3,551","1,978","863","155","3"
"광주광역시 북구 문흥1동(2917065600)","15,197","15,197","789","1,619","1,896","1,501","2,070","2,768","2,654","1,253","567","78","2"
"광주광역시 북구 문흥2동(2917065700)","14,412","14,412","658","1,218","2,160","1,640","1,911","2,379","2,350","1,265","725","105","1"
"광주광역시 북구 두암1동(2917066100)","6,992","6,992","184","458","884","673","756","1,251","1,305","977","447","55","2"
"광주광역시 북구 두암2동(2917066200)","14,525","14,525","497","1,073","1,665","1,462","1,814","2,629","2,828","1,717","732","107","1"
"광주광역시 북구 두암3동(2917066300)","12,038","12,038","270","632","1,144","1,003","1,196","2,131","2,851","1,710","950","150","1"
"광주광역시 북구 삼각동(2917066600)","13,053","13,053","701","1,411","1,749","1,500","1,991","2,622","1,847","834","341","57","0"
"광주광역시 북구 일곡동(2917066900)","27,691","27,691","1,628","3,808","3,916","2,821","4,272","5,834","3,296","1,247","750","117","2"
"광주광역시 북구 매곡동(2917067300)","12,979","12,979","830","1,444","1,603","1,478","1,895","2,391","1,921","875","450","90","2"
"광주광역시 북구 오치1동(2917067600)","10,022","10,022","344","846","1,324","1,131","1,312","1,946","1,755","924","380","60","0"
"광주광역시 북구 오치2동(2917067700)","11,290","11,290","366","638","1,337","1,315","1,317","1,957","2,388","1,220","642","106","4"
"광주광역시 북구 석곡동(2917068500)","2,235","2,235","45","105","149","159","164","371","590","374","241","36","1"
"광주광역시 북구 건국동(2917069500)","22,550","22,550","2,269","2,698","2,423","3,116","4,024","3,804","2,470","1,130","525","88","3"
"광주광역시 북구 양산동(2917069600)","35,126","35,126","2,747","3,703","4,232","4,743","5,992","6,184","4,409","2,010","950","150","6"
"광주광역시 북구 신용동(2917069700)","31,837","31,837","3,558","4,381","3,285","4,724","6,766","5,073","2,588","1,035","355","71","1"
"광주광역시 광산구 (2920000000)","391,611","391,611","28,815","48,180","53,125","49,042","67,509","71,992","43,281","18,962","9,210","1,462","33"
"광주광역시 광산구 송정1동(2920051500)","10,067","10,067","451","913","1,458","999","1,435","1,907","1,501","924","422","57","0"
"광주광역시 광산구 송정2동(2920052500)","6,027","6,027","283","291","828","851","701","1,009","887","755","373","48","1"
"광주광역시 광산구 도산동(2920054000)","14,273","14,273","1,037","1,363","1,819","1,794","2,214","2,650","1,798","1,055","489","54","0"
"광주광역시 광산구 신흥동(2920055000)","4,154","4,154","208","336","490","430","547","732","697","456","220","35","3"
"광주광역시 광산구 어룡동(2920056500)","33,494","33,494","3,138","3,894","3,710","4,697","6,295","5,413","3,820","1,687","716","120","4"
"광주광역시 광산구 우산동(2920058000)","28,396","28,396","2,140","2,011","3,381","4,610","4,083","5,032","4,223","1,811","925","174","6"
"광주광역시 광산구 월곡1동(2920060000)","9,570","9,570","463","848","1,308","1,129","1,159","1,964","1,681","674","287","56","1"
"광주광역시 광산구 월곡2동(2920061000)","14,473","14,473","741","1,584","1,931","1,569","2,145","3,043","2,124","892","402","40","2"
"광주광역시 광산구 비아동(2920062000)","7,199","7,199","488","754","790","679","1,239","1,517","996","450","235","51","0"
"광주광역시 광산구 첨단1동(2920062400)","27,829","27,829","1,852","3,062","4,374","4,079","3,886","5,541","3,505","953","495","80","2"
"광주광역시 광산구 첨단2동(2920062600)","41,245","41,245","2,654","4,680","7,231","5,833","6,524","8,098","4,118","1,330","677","99","1"
"광주광역시 광산구 신가동(2920063000)","18,797","18,797","1,653","2,699","2,564","2,073","3,526","3,721","1,557","684","292","28","0"
"광주광역시 광산구 운남동(2920063500)","28,792","28,792","1,842","3,350","3,952","3,406","4,828","5,775","3,339","1,429","746","123","2"
"광주광역시 광산구 수완동(2920063700)","74,042","74,042","6,494","13,496","9,553","7,695","15,910","12,858","5,111","2,088","731","103","3"
"광주광역시 광산구 하남동(2920064000)","27,035","27,035","2,381","3,459","3,717","3,847","5,295","4,455","2,658","837","325","59","2"
"광주광역시 광산구 임곡동(2920065000)","1,903","1,903","39","91","95","114","143","311","493","317","243","56","1"
"광주광역시 광산구 동곡동(2920066000)","1,637","1,637","26","55","98","98","144","248","409","313","216","30","0"
"광주광역시 광산구 평동(2920067000)","5,053","5,053","218","211","521","681","610","834","947","618","355","55","3"
"광주광역시 광산구 삼도동(2920068000)","2,127","2,127","36","107","122","126","167","346","509","381","280","53","0"
"광주광역시 광산구 본량동(2920069000)","1,812","1,812","20","72","87","88","144","313","406","313","313","54","2"
"광주광역시 광산구 신창동(2920070000)","33,686","33,686","2,651","4,904","5,096","4,244","6,514","6,225","2,502","995","468","87","0"
"대전광역시  (3000000000)","1,439,157","1,439,157","91,513","135,613","193,470","190,937","213,110","243,783","206,460","105,925","50,301","7,830","215"
"대전광역시 동구 (3011000000)","218,513","218,513","11,766","18,563","28,291","24,715","30,243","36,545","35,347","20,945","10,572","1,483","43"
"대전광역시 동구 중앙동(3011051500)","3,607","3,607","58","90","205","282","336","621","945","664","363","42","1"
"대전광역시 동구 효동(3011053000)","25,172","25,172","1,955","3,303","2,434","2,825","4,488","4,229","3,158","1,848","817","113","2"
"대전광역시 동구 신인동(3011054500)","14,775","14,775","1,171","1,052","1,299","2,266","2,127","2,347","2,268","1,467","683","92","3"
"대전광역시 동구 판암1동(3011055100)","11,852","11,852","580","816","1,185","1,289","1,489","2,054","2,229","1,296","788","122","4"
"대전광역시 동구 판암2동(3011055200)","7,870","7,870","162","312","548","650","766","1,269","1,894","1,348","793","126","2"
"대전광역시 동구 용운동(3011056000)","20,918","20,918","1,393","1,656","3,111","2,771","2,766","3,524","3,221","1,671","694","108","3"
"대전광역시 동구 대동(3011058500)","13,684","13,684","968","1,487","1,410","1,508","2,163","2,270","2,037","1,137","608","92","4"
"대전광역시 동구 자양동(3011059000)","10,824","10,824","264","787","3,164","991","1,026","1,481","1,569","973","502","66","1"
"대전광역시 동구 가양1동(3011062000)","12,837","12,837","494","1,029","1,800","1,191","1,683","2,207","2,269","1,366","699","98","1"
"대전광역시 동구 가양2동(3011063000)","18,525","18,525","732","1,529","2,974","1,992","2,369","3,263","3,073","1,679","805","108","1"
"대전광역시 동구 용전동(3011064000)","19,904","19,904","746","1,315","3,786","2,850","2,755","3,273","2,837","1,531","727","79","5"
"대전광역시 동구 성남동(3011066500)","10,759","10,759","606","765","1,044","1,133","1,500","1,847","1,961","1,205","609","86","3"
"대전광역시 동구 홍도동(3011067000)","11,062","11,062","446","685","2,113","1,379","1,326","1,829","1,803","944","467","70","0"
"대전광역시 동구 삼성동(3011069500)","13,393","13,393","621","1,020","1,230","1,344","1,762","2,356","2,495","1,615","843","104","3"
"대전광역시 동구 대청동(3011072500)","2,153","2,153","33","97","141","120","163","376","579","356","243","45","0"
"대전광역시 동구 산내동(3011074000)","21,178","21,178","1,537","2,620","1,847","2,124","3,524","3,599","3,009","1,845","931","132","10"
"대전광역시 중구 (3014000000)","225,008","225,008","12,033","19,701","26,081","25,232","31,600","38,927","35,694","22,581","11,410","1,704","45"
"대전광역시 중구 은행선화동(3014053500)","19,109","19,109","1,658","1,418","2,506","3,441","3,055","2,838","2,242","1,293","556","98","4"
"대전광역시 중구 목동(3014055000)","17,604","17,604","1,688","2,811","1,820","2,103","3,457","2,876","1,551","817","413","65","3"
"대전광역시 중구 중촌동(3014056000)","13,419","13,419","883","985","1,327","1,756","1,890","2,324","2,101","1,395","647","109","2"
"대전광역시 중구 대흥동(3014057500)","12,682","12,682","579","971","2,248","1,738","1,779","1,899","1,800","1,050","514","100","4"
"대전광역시 중구 문창동(3014060500)","4,158","4,158","111","247","351","329","454","724","956","567","354","63","2"
"대전광역시 중구 석교동(3014062000)","14,193","14,193","420","868","1,317","1,246","1,630","2,508","3,101","1,998","986","117","2"
"대전광역시 중구 대사동(3014063000)","5,249","5,249","119","235","918","643","490","802","968","621","401","51","1"
"대전광역시 중구 부사동(3014064000)","6,175","6,175","211","366","573","583","727","1,102","1,276","843","424","68","2"
"대전광역시 중구 용두동(3014065500)","9,892","9,892","524","705","1,666","1,570","1,365","1,552","1,146","788","530","46","0"
"대전광역시 중구 오류동(3014067000)","10,018","10,018","494","645","1,259","1,305","1,251","1,749","1,518","1,056","617","122","2"
"대전광역시 중구 태평1동(3014068000)","12,496","12,496","774","1,351","1,304","1,220","2,035","2,278","1,741","1,147","574","70","2"
"대전광역시 중구 태평2동(3014069000)","24,061","24,061","1,276","2,672","2,572","1,953","3,449","4,502","3,654","2,564","1,222","192","5"
"대전광역시 중구 유천1동(3014070000)","5,838","5,838","213","265","621","753","778","1,034","1,154","664","302","52","2"
"대전광역시 중구 유천2동(3014071000)","12,889","12,889","556","910","1,513","1,359","1,631","2,050","2,330","1,611","818","106","5"
"대전광역시 중구 문화1동(3014072000)","20,553","20,553","1,292","2,508","2,477","1,878","3,182","3,603","2,709","1,799","968","133","4"
"대전광역시 중구 문화2동(3014073000)","11,378","11,378","350","825","1,104","1,142","1,327","2,183","2,199","1,310","794","141","3"
"대전광역시 중구 산성동(3014074000)","25,294","25,294","885","1,919","2,505","2,213","3,100","4,903","5,248","3,058","1,290","171","2"
"대전광역시 서구 (3017000000)","457,951","457,951","28,612","45,276","65,571","62,750","69,441","76,660","62,618","30,879","13,864","2,232","48"
"대전광역시 서구 복수동(3017051000)","21,461","21,461","1,416","2,766","2,683","2,098","3,570","3,979","2,689","1,538","634","84","4"
"대전광역시 서구 도마1동(3017052000)","18,599","18,599","1,139","1,171","2,747","2,482","2,279","2,840","3,096","1,892","824","127","2"
"대전광역시 서구 도마2동(3017053000)","16,179","16,179","611","1,170","2,033","1,703","1,877","2,737","3,116","1,942","857","128","5"
"대전광역시 서구 정림동(3017053500)","15,053","15,053","702","1,249","1,513","1,435","1,892","2,710","3,167","1,553","712","120","0"
"대전광역시 서구 변동(3017054000)","12,817","12,817","594","921","1,366","1,507","1,689","2,237","2,401","1,392","628","79","3"
"대전광역시 서구 용문동(3017055000)","11,629","11,629","411","498","2,116","2,121","1,502","1,730","1,633","1,027","514","76","1"
"대전광역시 서구 탄방동(3017055500)","26,361","26,361","1,305","2,146","4,814","4,758","3,994","4,190","3,121","1,330","603","99","1"
"대전광역시 서구 괴정동(3017056000)","18,449","18,449","715","1,182","4,156","3,749","2,523","2,525","1,992","1,092","454","60","1"
"대전광역시 서구 가장동(3017057000)","10,680","10,680","538","928","1,290","1,178","1,505","1,887","1,691","1,088","502","72","1"
"대전광역시 서구 내동(3017057500)","22,365","22,365","1,275","2,337","2,690","2,378","3,367","3,878","3,473","1,968","861","137","1"
"대전광역시 서구 갈마1동(3017058100)","20,944","20,944","788","1,358","4,078","3,465","2,780","3,163","3,196","1,453","564","97","2"
"대전광역시 서구 갈마2동(3017058200)","23,727","23,727","950","1,669","5,057","4,297","3,205","3,860","3,004","1,148","474","63","0"
"대전광역시 서구 월평1동(3017058600)","11,149","11,149","303","492","2,872","2,055","1,357","1,657","1,438","647","289","39","0"
"대전광역시 서구 월평2동(3017058700)","13,447","13,447","576","1,111","1,440","1,384","1,561","2,407","2,650","1,364","785","164","5"
"대전광역시 서구 월평3동(3017058800)","20,138","20,138","1,369","2,333","2,173","2,370","2,959","3,566","3,479","1,281","506","102","0"
"대전광역시 서구 가수원동(3017059000)","10,213","10,213","447","854","1,075","1,082","1,253","1,818","2,021","1,060","528","72","3"
"대전광역시 서구 도안동(3017059300)","36,575","36,575","4,777","5,090","4,065","5,666","7,646","5,017","2,963","1,008","292","50","1"
"대전광역시 서구 관저1동(3017059600)","14,649","14,649","839","1,375","2,427","1,902","1,997","2,615","2,060","861","493","78","2"
"대전광역시 서구 관저2동(3017059700)","47,947","47,947","4,358","5,897","6,218","6,612","8,621","8,400","4,754","2,031","898","154","4"
"대전광역시 서구 기성동(3017060000)","3,373","3,373","69","141","183","225","320","568","774","571","423","93","6"
"대전광역시 서구 둔산1동(3017063000)","16,350","16,350","1,307","3,257","1,437","1,167","3,631","2,784","1,405","878","419","64","1"
"대전광역시 서구 둔산2동(3017064000)","34,949","34,949","2,547","3,586","4,822","5,576","5,362","6,462","4,246","1,602","643","102","1"
"대전광역시 서구 만년동(3017065000)","12,086","12,086","684","1,065","2,118","2,026","1,614","2,187","1,559","549","247","36","1"
"대전광역시 서구 둔산3동(3017066000)","18,811","18,811","892","2,680","2,198","1,514","2,937","3,443","2,690","1,604","714","136","3"
"대전광역시 유성구 (3020000000)","369,468","369,468","30,831","38,282","53,141","58,635","59,481","59,015","43,463","17,461","7,690","1,427","42"
"대전광역시 유성구 진잠동(3020052000)","25,412","25,412","1,511","2,267","3,090","3,146","3,715","4,935","3,902","1,789","904","148","5"
"대전광역시 유성구 학하동(3020052600)","19,606","19,606","1,836","1,507","3,113","3,287","2,969","2,815","2,826","883","305","65","0"
"대전광역시 유성구 상대동(3020052700)","25,285","25,285","2,753","3,600","2,341","2,994","4,866","4,210","3,045","1,030","361","83","2"
"대전광역시 유성구 온천1동(3020053000)","26,627","26,627","695","850","6,395","5,769","3,031","3,742","3,545","1,658","810","125","7"
"대전광역시 유성구 온천2동(3020054000)","40,403","40,403","2,769","3,051","9,766","5,827","5,192","5,505","5,102","2,159","860","169","3"
"대전광역시 유성구 노은1동(3020054600)","20,942","20,942","1,612","2,796","2,531","3,050","3,651","3,560","2,136","1,054","471","76","5"
"대전광역시 유성구 노은2동(3020054700)","23,442","23,442","1,626","3,059","2,875","2,794","3,924","4,366","2,741","1,222","723","109","3"
"대전광역시 유성구 노은3동(3020054800)","36,263","36,263","3,672","4,683","3,413","4,888","7,058","5,838","4,099","1,818","671","121","2"
"대전광역시 유성구 신성동(3020055000)","25,443","25,443","2,269","2,573","4,049","5,183","3,808","3,603","2,518","917","433","88","2"
"대전광역시 유성구 전민동(3020057000)","25,742","25,742","2,091","2,797","3,649","4,306","3,837","4,193","3,237","1,025","467","139","1"
"대전광역시 유성구 구즉동(3020058000)","32,812","32,812","2,773","2,993","4,243","6,141","5,069","5,558","3,646","1,481","770","133","5"
"대전광역시 유성구 관평동(3020060000)","37,352","37,352","3,984","5,089","4,587","5,990","6,889","6,285","3,105","976","371","74","2"
"대전광역시 유성구 원신흥동(3020061000)","30,139","30,139","3,240","3,017","3,089","5,260","5,472","4,405","3,561","1,449","544","97","5"
"대전광역시 대덕구 (3023000000)","168,217","168,217","8,271","13,791","20,386","19,605","22,345","32,636","29,338","14,059","6,765","984","37"
"대전광역시 대덕구 오정동(3023051000)","13,635","13,635","404","883","2,115","1,363","1,529","2,374","2,742","1,517","606","98","4"
"대전광역시 대덕구 대화동(3023052000)","5,750","5,750","157","359","566","622","786","1,099","1,140","691","289","40","1"
"대전광역시 대덕구 회덕동(3023052500)","12,640","12,640","590","832","1,211","1,499","1,470","2,387","2,572","1,281","698","99","1"
"대전광역시 대덕구 비래동(3023053300)","14,923","14,923","551","1,282","1,778","1,338","1,867","3,120","2,825","1,411","651","96","4"
"대전광역시 대덕구 송촌동(3023054300)","25,540","25,540","1,407","3,052","3,367","2,487","3,766","5,685","3,658","1,289","718","107","4"
"대전광역시 대덕구 중리동(3023054600)","18,115","18,115","591","1,214","2,467","2,036","2,333","3,554","3,442","1,623","768","85","2"
"대전광역시 대덕구 신탄진동(3023055000)","16,020","16,020","950","1,079","1,856","2,424","2,068","2,972","2,622","1,323","635","88","3"
"대전광역시 대덕구 석봉동(3023056000)","16,022","16,022","1,547","1,688","1,612","2,532","2,737","2,585","2,081","793","383","63","1"
"대전광역시 대덕구 덕암동(3023057000)","12,678","12,678","483","856","1,714","1,613","1,593","2,526","2,091","1,124","578","94","6"
"대전광역시 대덕구 목상동(3023058000)","5,962","5,962","259","477","839","885","966","1,103","891","345","177","18","2"
"대전광역시 대덕구 법1동(3023060000)","12,186","12,186","683","877","1,229","1,483","1,472","2,321","2,198","1,232","585","101","5"
"대전광역시 대덕구 법2동(3023061000)","14,746","14,746","649","1,192","1,632","1,323","1,758","2,910","3,076","1,430","677","95","4"
"울산광역시  (3100000000)","1,098,049","1,098,049","73,097","109,370","117,157","136,293","173,188","202,978","175,205","77,310","29,297","4,068","86"
"울산광역시 중구 (3111000000)","207,000","207,000","12,568","18,972","20,525","24,700","30,593","38,066","36,172","17,687","6,875","831","11"
"울산광역시 중구 학성동(3111051000)","10,659","10,659","437","596","1,007","1,363","1,284","1,813","2,094","1,414","600","50","1"
"울산광역시 중구 반구1동(3111052000)","15,483","15,483","901","1,259","1,447","1,943","2,381","2,849","2,892","1,311","446","53","1"
"울산광역시 중구 반구2동(3111053000)","8,123","8,123","242","488","981","965","949","1,562","1,602","923","366","45","0"
"울산광역시 중구 복산동(3111055500)","21,099","21,099","2,224","1,786","1,934","3,974","3,212","3,193","2,857","1,363","489","67","0"
"울산광역시 중구 중앙동(3111058500)","11,187","11,187","275","492","1,033","1,177","1,229","2,031","2,612","1,571","686","81","0"
"울산광역시 중구 우정동(3111059000)","17,913","17,913","979","1,529","1,741","2,189","2,468","3,136","3,285","1,766","715","104","1"
"울산광역시 중구 태화동(3111060000)","31,286","31,286","2,404","3,623","2,849","3,685","5,312","5,464","4,920","2,156","784","88","1"
"울산광역시 중구 다운동(3111061000)","20,972","20,972","640","1,517","2,414","1,831","2,318","4,498","4,467","2,207","949","129","2"
"울산광역시 중구 병영1동(3111062000)","20,460","20,460","1,015","1,921","2,177","1,991","2,716","4,103","4,049","1,809","610","68","1"
"울산광역시 중구 병영2동(3111063000)","19,240","19,240","1,304","2,043","1,707","2,188","3,234","3,359","3,392","1,406","547","58","2"
"울산광역시 중구 약사동(3111064000)","10,492","10,492","1,022","1,292","1,026","1,383","1,830","1,891","1,344","497","181","26","0"
"울산광역시 중구 성안동(3111065000)","20,086","20,086","1,125","2,426","2,209","2,011","3,660","4,167","2,658","1,264","502","62","2"
"울산광역시 남구 (3114000000)","304,885","304,885","18,624","27,848","36,688","40,668","45,243","58,002","48,350","21,119","7,404","921","18"
"울산광역시 남구 신정1동(3114051000)","17,604","17,604","708","991","1,845","2,387","2,165","3,053","3,585","2,033","763","73","1"
"울산광역시 남구 신정2동(3114052000)","25,174","25,174","1,913","3,265","2,545","2,824","4,401","4,769","3,336","1,529","517","75","0"
"울산광역시 남구 신정3동(3114053000)","15,560","15,560","950","1,242","1,525","1,920","2,183","2,918","2,888","1,370","492","71","1"
"울산광역시 남구 신정4동(3114054000)","19,479","19,479","1,264","2,175","2,225","2,378","3,093","3,576","2,859","1,386","470","51","2"
"울산광역시 남구 신정5동(3114055000)","8,270","8,270","332","549","1,086","1,230","1,161","1,547","1,399","693","248","25","0"
"울산광역시 남구 달동(3114056000)","25,642","25,642","1,045","1,803","3,264","3,693","3,659","4,865","4,575","1,882","753","100","3"
"울산광역시 남구 삼산동(3114057000)","47,423","47,423","2,554","3,864","6,877","7,446","7,392","9,230","6,785","2,484","679","111","1"
"울산광역시 남구 삼호동(3114058500)","20,243","20,243","930","1,432","2,431","2,553","2,461","4,357","3,835","1,518","645","80","1"
"울산광역시 남구 무거동(3114059500)","30,872","30,872","1,404","2,844","5,712","3,440","3,892","6,712","4,431","1,661","686","87","3"
"울산광역시 남구 옥동(3114060000)","24,830","24,830","1,742","2,778","2,716","2,903","3,714","4,907","4,008","1,524","468","69","1"
"울산광역시 남구 대현동(3114062500)","32,227","32,227","3,249","3,653","2,869","5,054","5,791","5,043","3,991","1,868","650","57","2"
"울산광역시 남구 수암동(3114063500)","15,822","15,822","1,230","1,688","1,628","2,092","2,281","3,047","2,503","1,043","273","35","2"
"울산광역시 남구 선암동(3114064000)","13,194","13,194","723","1,081","1,342","1,526","1,953","2,561","2,503","1,088","375","42","0"
"울산광역시 남구 야음장생포동(3114067000)","8,545","8,545","580","483","623","1,222","1,097","1,417","1,652","1,040","385","45","1"
"울산광역시 동구 (3117000000)","150,836","150,836","10,174","16,340","14,957","17,955","26,541","24,390","25,103","11,543","3,410","409","14"
"울산광역시 동구 방어동(3117051000)","37,124","37,124","2,132","3,997","3,646","4,060","6,846","6,709","5,968","2,752","905","106","3"
"울산광역시 동구 일산동(3117052000)","5,148","5,148","129","317","583","569","714","854","1,133","633","197","19","0"
"울산광역시 동구 화정동(3117053000)","17,948","17,948","1,351","1,934","1,644","1,979","3,129","2,907","3,030","1,445","469","57","3"
"울산광역시 동구 대송동(3117054000)","10,601","10,601","497","1,019","1,222","1,084","1,680","2,144","1,951","759","217","27","1"
