"행정구역","2024년12월_계_총인구수","2024년12월_계_연령구간인구수","2024년12월_계_0~9세","2024년12월_계_10~19세","2024년12월_계_20~29세","2024년12월_계_30~39세","2024년12월_계_40~49세","2024년12월_계_50~59세","2024년12월_계_60~69세","2024년12월_계_70~79세","2024년12월_계_80~89세","2024년12월_계_90~99세","2024년12월_계_100세 이상"
"서울특별시 용산구 한남동(1117068500)","14,073","14,073","876","887","1,516","2,511","2,392","2,254","1,891","1,102","545","98","1"
"서울특별시 용산구 서빙고동(1117069000)","12,467","12,467","630","1,364","1,528","1,476","2,107","2,120","1,698","834","584","119","7"
"서울특별시 용산구 보광동(1117070000)","7,187","7,187","148","348","863","1,108","961","1,294","1,329","714","361","60","1"
"서울특별시 성동구 (1120000000)","273,669","273,669","15,974","17,331","38,953","46,424","39,754","43,452","38,618","21,093","10,635","1,401","34"
"서울특별시 성동구 왕십리제2동(1120052000)","15,950","15,950","985","1,003","2,092","2,916","2,269","2,575","2,250","1,201","572","84","3"
"서울특별시 성동구 왕십리도선동(1120053500)","26,071","26,071","1,916","1,644","3,771","4,477","3,868","4,220","3,372","1,739","943","120","1"
"서울특별시 성동구 마장동(1120054000)","21,344","21,344","923","1,372","3,973","3,187","2,526","3,358","3,157","1,817","912","118","1"
"서울특별시 성동구 사근동(1120055000)","11,927","11,927","291","694","4,836","1,662","1,025","1,301","996","665","422","35","0"
"서울특별시 성동구 행당제1동(1120056000)","13,736","13,736","797","987","2,116","2,353","2,006","2,155","1,767","965","518","65","7"
"서울특별시 성동구 행당제2동(1120057000)","22,620","22,620","1,498","1,841","2,460","3,469","3,480","3,929","3,067","1,845","901","124","6"
"서울특별시 성동구 응봉동(1120058000)","14,723","14,723","901","1,437","1,600","2,038","2,501","2,562","1,845","1,120","636","83","0"
"서울특별시 성동구 금호1가동(1120059000)","14,580","14,580","1,031","1,011","1,443","2,282","2,473","2,279","2,151","1,240","578","91","1"
"서울특별시 성동구 금호2.3가동(1120061500)","21,148","21,148","1,468","1,170","2,270","3,743","3,384","3,367","3,002","1,733","886","120","5"
"서울특별시 성동구 금호4가동(1120062000)","14,074","14,074","1,137","900","1,241","2,403","2,500","2,120","1,952","1,161","572","86","2"
"서울특별시 성동구 옥수동(1120064500)","25,289","25,289","2,232","1,590","2,268","4,611","4,435","3,746","3,439","1,862","956","148","2"
"서울특별시 성동구 성수1가제1동(1120065000)","15,202","15,202","757","856","2,080","2,914","1,950","2,682","2,442","1,013","446","60","2"
"서울특별시 성동구 성수1가제2동(1120066000)","11,696","11,696","561","690","1,656","2,306","1,660","1,800","1,668","884","423","48","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,158","14,158","508","708","1,689","2,361","1,793","2,421","2,790","1,258","558","72","0"
"서울특별시 성동구 성수2가제3동(1120069000)","9,643","9,643","395","494","1,464","1,837","1,291","1,476","1,413","805","422","44","2"
"서울특별시 성동구 송정동(1120072000)","9,453","9,453","320","456","1,364","1,570","1,257","1,624","1,666","819","336","41","0"
"서울특별시 성동구 용답동(1120079000)","12,055","12,055","254","478","2,630","2,295","1,336","1,837","1,641","966","554","62","2"
"서울특별시 광진구 (1121500000)","331,963","331,963","14,098","22,986","56,887","55,354","46,529","52,263","46,029","24,724","11,469","1,577","47"
"서울특별시 광진구 화양동(1121571000)","22,880","22,880","278","601","10,004","4,855","1,961","1,913","1,591","1,095","525","55","2"
"서울특별시 광진구 군자동(1121573000)","18,729","18,729","576","911","4,099","3,431","2,371","2,550","2,559","1,427","721","79","5"
"서울특별시 광진구 중곡제1동(1121574000)","15,111","15,111","501","637","2,674","3,100","1,935","2,275","2,173","1,190","553","72","1"
"서울특별시 광진구 중곡제2동(1121575000)","20,172","20,172","761","1,196","3,169","3,628","2,687","3,229","3,077","1,674","675","76","0"
"서울특별시 광진구 중곡제3동(1121576000)","15,379","15,379","524","744","2,209","2,740","1,949","2,577","2,565","1,374","641","56","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,284","27,284","927","1,601","3,666","4,116","3,407","4,952","4,815","2,580","1,086","128","6"
"서울특별시 광진구 능동(1121578000)","10,903","10,903","398","472","2,153","2,430","1,589","1,431","1,269","751","376","34","0"
"서울특별시 광진구 광장동(1121581000)","33,788","33,788","2,375","5,232","3,745","3,386","6,613","6,051","3,619","1,669","912","182","4"
"서울특별시 광진구 자양제1동(1121582000)","21,762","21,762","649","1,317","3,900","3,886","3,019","3,364","3,067","1,643","817","99","1"
"서울특별시 광진구 자양제2동(1121583000)","23,381","23,381","1,121","1,614","3,069","3,827","3,378","3,821","3,686","1,937","813","112","3"
"서울특별시 광진구 자양제3동(1121584000)","27,010","27,010","1,795","2,349","3,405","3,822","4,127","4,495","3,922","1,929","946","211","9"
"서울특별시 광진구 자양제4동(1121584700)","19,651","19,651","706","826","3,095","3,485","2,450","3,105","3,197","1,858","809","117","3"
"서울특별시 광진구 구의제1동(1121585000)","22,961","22,961","776","1,162","4,694","4,547","3,150","3,443","2,860","1,501","732","92","4"
"서울특별시 광진구 구의제2동(1121586000)","25,295","25,295","1,210","2,044","3,151","3,610","3,818","4,430","3,848","2,114","949","113","8"
"서울특별시 광진구 구의제3동(1121587000)","27,657","27,657","1,501","2,280","3,854","4,491","4,075","4,627","3,781","1,982","914","151","1"
"서울특별시 동대문구 (1123000000)","338,735","338,735","17,174","22,270","55,543","50,145","47,253","51,914","48,622","29,361","14,531","1,872","50"
"서울특별시 동대문구 용신동(1123053600)","38,619","38,619","1,834","1,879","6,905","7,202","5,441","5,723","5,110","2,845","1,490","186","4"
"서울특별시 동대문구 제기동(1123054500)","22,895","22,895","712","1,146","4,350","3,079","2,496","3,425","3,710","2,465","1,344","164","4"
"서울특별시 동대문구 전농제1동(1123056000)","32,864","32,864","1,906","2,116","4,960","4,746","4,763","5,406","4,786","2,659","1,325","191","6"
"서울특별시 동대문구 전농제2동(1123057000)","17,664","17,664","914","1,477","1,912","2,118","2,554","3,085","2,867","1,723","906","105","3"
"서울특별시 동대문구 답십리제1동(1123060000)","27,835","27,835","2,158","1,921","3,741","4,937","4,632","3,961","3,536","1,905","924","116","4"
"서울특별시 동대문구 답십리제2동(1123061000)","27,059","27,059","1,479","1,665","2,978","4,269","3,652","4,447","4,438","2,641","1,325","164","1"
"서울특별시 동대문구 장안제1동(1123065000)","37,110","37,110","1,928","2,481","4,639","5,964","5,888","5,766","5,691","3,298","1,293","155","7"
"서울특별시 동대문구 장안제2동(1123066000)","32,917","32,917","2,421","2,870","3,695","4,827","5,711","5,033","4,531","2,638","1,057","132","2"
