,구분,위치(구역명),운동기구 기종명,운동기구 수량,관리번호,관리기관
1917,서울대공원,관리사무소 앞,스텝사이클,1,서울대공원-1(관리사무소)-13,서울대공원
1918,서울대공원,관리사무소 앞,레그프레스,1,서울대공원-1(관리사무소)-14,서울대공원
1919,서울대공원,관리사무소 앞,입식사이클,1,서울대공원-1(관리사무소)-15,서울대공원
1920,서울대공원,관리사무소 앞,크로스컨트리,1,서울대공원-1(관리사무소)-16,서울대공원
1921,서울대공원,기린나라 앞,하체흔들기,1,서울대공원-2(기린나라)-1,서울대공원
1922,서울대공원,기린나라 앞,어깨근육풀기,1,서울대공원-2(기린나라)-2,서울대공원
1923,서울대공원,기린나라 앞,허리돌리기,1,서울대공원-2(기린나라)-3,서울대공원
1924,서울대공원,기린나라 앞,윗몸일으키기,1,서울대공원-2(기린나라)-4,서울대공원
1925,서울대공원,기린나라 앞,하이풀리운동기구,1,서울대공원-2(기린나라)-5,서울대공원
1,남산공원(회현),안중근 기념관 옆,크로스 컨트리,1,남삼회현-1(안중근기념관옆)-2,중부공원녹지사업소
39,남산공원(회현),용암배드민턴장,등 지압기,1,남삼회현-5(용암배드민턴장)-6,중부공원녹지사업소
40,남산공원(회현),용암배드민턴장,롤링웨이스트,1,남삼회현-5(용암배드민턴장)-7,중부공원녹지사업소
41,남산공원(회현),용암천,역기,1,남삼회현-6(용암천)-1,중부공원녹지사업소
42,남산공원(회현),용암천,허리돌이기,1,남삼회현-6(용암천)-2,중부공원녹지사업소
43,남산공원(회현),용암천,크로스 컨트리,1,남삼회현-6(용암천)-3,중부공원녹지사업소
44,남산공원(회현),용암천,체어 웨이트,1,남삼회현-6(용암천)-4,중부공원녹지사업소
45,남산공원(회현),용암천,클링웨이스트,1,남삼회현-6(용암천)-5,중부공원녹지사업소
46,남산공원(회현),용암천,레그프레스,1,남삼회현-6(용암천)-6,중부공원녹지사업소
47,남산공원(회현),용암천,워밍암,1,남삼회현-6(용암천)-7,중부공원녹지사업소
48,남산공원(회현),용암천,입식트윈트위스트,1,남삼회현-6(용암천)-8,중부공원녹지사업소
49,남산공원(회현),용암천,스트레칭울러,1,남삼회현-6(용암천)-9,중부공원녹지사업소
50,남산공원(회현),용암천,스텝사이클,1,남삼회현-6(용암천)-10,중부공원녹지사업소
51,남산공원(회현),용암천,평행봉,1,남삼회현-6(용암천)-11,중부공원녹지사업소
52,남산공원(회현),용암천,철봉(1단),1,남삼회현-6(용암천)-12,중부공원녹지사업소
53,남산공원(회현),용암천,레그 스트레칭,1,남삼회현-6(용암천)-13,중부공원녹지사업소
54,남산공원(회현),기억의 터 위,허리돌이기,1,남삼회현-7(기억의터)-1,중부공원녹지사업소
55,남산공원(회현),기억의 터 위,윗몸일으키기,1,남삼회현-7(기억의터)-2,중부공원녹지사업소
56,남산공원(회현),기억의 터 위,스텝사이클,1,남삼회현-7(기억의터)-3,중부공원녹지사업소
57,남산공원(회현),기억의 터 위,철봉(3단),1,남삼회현-7(기억의터)-4,중부공원녹지사업소
58,남산공원(회현),기억의 터 위,체어 웨이트,1,남삼회현-7(기억의터)-5,중부공원녹지사업소
59,남산공원(회현),기억의 터 위,오금펴기,1,남삼회현-7(기억의터)-6,중부공원녹지사업소
60,남산공원(회현),기억의 터 위,스텝사이클,1,남삼회현-7(기억의터)-7,중부공원녹지사업소
61,남산공원(회현),기억의 터 위,철봉(3단),1,남삼회현-7(기억의터)-8,중부공원녹지사업소
62,남산공원(회현),기억의 터 위,역기,1,남삼회현-7(기억의터)-9,중부공원녹지사업소
63,남산공원(회현),기억의 터 위,평행봉,1,남삼회현-7(기억의터)-10,중부공원녹지사업소
64,남산공원(회현),기억의 터 위,철봉(3단),1,남삼회현-7(기억의터)-11,중부공원녹지사업소
65,남산공원(회현),기억의 터 위,허리돌이기,1,남삼회현-7(기억의터)-12,중부공원녹지사업소
66,남산공원(팔각),독립군상 체육회,하체흔들기,1,남산팔각-1(독립군상)-1,중부공원녹지사업소
67,남산공원(팔각),독립군상 체육회,실외걷기,1,남산팔각-1(독립군상)-3,중부공원녹지사업소
68,남산공원(팔각),독립군상 체육회,위몸 위으키기,1,남산팔각-1(독립군상)-4,중부공원녹지사업소
69,남산공원(팔각),독립군상 체육회,허리 등 안마기,1,남산팔각-1(독립군상)-5,중부공원녹지사업소
70,남산공원(팔각),독립군상 체육회,평행봉,1,남산팔각-1(독립군상)-6,중부공원녹지사업소
71,남산공원(팔각),독립군상 체육회,다리펴기,1,남산팔각-1(독립군상)-7,중부공원녹지사업소
72,남산공원(팔각),독립군상 체육회,철봉,1,남산팔각-1(독립군상)-8,중부공원녹지사업소
73,남산공원(팔각),독립군상 체육회,허리돌리기+달리기,1,남산팔각-1(독립군상)-9,중부공원녹지사업소
74,남산공원(팔각),독립군상 체육회,허리돌리기,1,남산팔각-1(독립군상)-10,중부공원녹지사업소
75,남산공원(팔각),독립군상 체육회,역기,1,남산팔각-1(독립군상)-11,중부공원녹지사업소
76,남산공원(팔각),독립군상 체육회,오금펴기+줄당기기,1,남산팔각-1(독립군상)-12,중부공원녹지사업소
77,남산공원(팔각),독립군상 체육회,위몸 위으키기,1,남산팔각-1(독립군상)-13,중부공원녹지사업소
78,남산공원(팔각),독립군상 체육회,올리는 역기,1,남산팔각-1(독립군상)-14,중부공원녹지사업소
79,남산공원(팔각),독립군상 체육회,올리는 역기,1,남산팔각-1(독립군상)-15,중부공원녹지사업소
80,남산공원(팔각),독립군상 체육회,안마,1,남산팔각-1(독립군상)-16,중부공원녹지사업소
81,남산공원(팔각),독립군상 체육회,안마,1,남산팔각-1(독립군상)-17,중부공원녹지사업소
82,남산공원(팔각),감로천 체육회,공중걷기,1,남산팔각-2(감로천)-1,중부공원녹지사업소
83,남산공원(팔각),감로천 체육회,허리돌리기,1,남산팔각-2(감로천)-2,중부공원녹지사업소
84,남산공원(팔각),감로천 체육회,위몸 위으키기,1,남산팔각-2(감로천)-3,중부공원녹지사업소
85,남산공원(팔각),감로천 체육회,상체근육풀기,1,남산팔각-2(감로천)-4,중부공원녹지사업소
86,남산공원(팔각),감로천 체육회,등.허리지압기,1,남산팔각-2(감로천)-5,중부공원녹지사업소
87,남산공원(팔각),감로천 체육회,역기,1,남산팔각-2(감로천)-6,중부공원녹지사업소
88,남산공원(팔각),감로천 체육회,역기,1,남산팔각-2(감로천)-7,중부공원녹지사업소
89,남산공원(팔각),감로천 체육회,철봉,1,남산팔각-2(감로천)-8,중부공원녹지사업소
90,남산공원(팔각),감로천 체육회,철봉,1,남산팔각-2(감로천)-9,중부공원녹지사업소
91,남산공원(팔각),감로천 체육회,평행봉,1,남산팔각-2(감로천)-10,중부공원녹지사업소
92,남산공원(팔각),감로천 체육회,평행봉,1,남산팔각-2(감로천)-11,중부공원녹지사업소
93,남산공원(팔각),감로천 체육회,스텝사이클,1,남산팔각-2(감로천)-12,중부공원녹지사업소
94,남산공원(팔각),감로천 체육회,규형잡기,1,남산팔각-2(감로천)-13,중부공원녹지사업소
95,남산공원(팔각),남산산악회,평행봉,1,남산팔각-3(남산산악회)-1,중부공원녹지사업소
96,남산공원(팔각),남산산악회,평행봉,1,남산팔각-3(남산산악회)-2,중부공원녹지사업소
97,남산공원(팔각),남산산악회,철봉,1,남산팔각-3(남산산악회)-3,중부공원녹지사업소
98,남산공원(팔각),남산산악회,역기,1,남산팔각-3(남산산악회)-4,중부공원녹지사업소
99,남산공원(팔각),남산산악회,역기,1,남산팔각-3(남산산악회)-5,중부공원녹지사업소
100,남산공원(팔각),남산산악회,역기,1,남산팔각-3(남산산악회)-6,중부공원녹지사업소
